gkz,name,nur Caritas?,Kategorie,Kinder insgesamt,Jänner: Kinder in Nachmittagsbetreuung,März: Kinder in Nachmittagsbetreuung,Differenz,Prozentuelle Änderung,Karte-Text,Telefonnummer
41602,Altenberg bei Linz,Ja,Caritas oder andere private Erhalter,,,,0,,,+437230 / 7255
41603,Bad Leonfelden,Ja,Caritas oder andere private Erhalter,,,,0,,,+437213 / 6565
41611,Hellmonsödt,Ja,Caritas oder andere private Erhalter,,,,0,,,+437215 / 2255
41622,Schenkenfelden,Ja,Caritas oder andere private Erhalter,,,,0,,,+437214 / 7005
41704,Atzbach,Ja,Caritas oder andere private Erhalter,,,,0,,,+437676 / 8415
41705,Aurach am Hongar,Ja,Caritas oder andere private Erhalter,,,,0,,,+437662 / 6311
41706,Berg im Attergau,Ja,Caritas oder andere private Erhalter,,,,0,,,+437667 / 6445
41707,Desselbrunn,Ja,Caritas oder andere private Erhalter,,,,0,,,+437673 / 3713
41708,Fornach,Ja,Caritas oder andere private Erhalter,,,,0,,,+437682 / 5505
41710,Frankenmarkt,Ja,Caritas oder andere private Erhalter,,,,0,,,+437684 / 6255
41715,Mondsee,Ja,Caritas oder andere private Erhalter,,,,0,,,+436232 / 2203 - 0
41717,Niederthalheim,Ja,Caritas oder andere private Erhalter,,,,0,,,+437673 / 7055
41726,Pöndorf,Ja,Caritas oder andere private Erhalter,,,,0,,,+437684 / 7113
41730,Redlham,Ja,Caritas oder andere private Erhalter,,,,0,,,+437674 / 62 2 79
41731,Regau,Ja,Caritas oder andere private Erhalter,,,,0,,,+437672 / 23 1 02
41736,Schlatt,Ja,Caritas oder andere private Erhalter,,,,0,,,+437673 / 2355
41737,Schörfling am Attersee,Ja,Caritas oder andere private Erhalter,,,,0,,,+437662 / 3255 - 0
41738,Schwanenstadt,Ja,Caritas oder andere private Erhalter,,,,0,,,+437673 / 2255
41744,Ungenach,Ja,Caritas oder andere private Erhalter,,,,0,,,+437672 / 8012
41747,Vöcklamarkt,Ja,Caritas oder andere private Erhalter,,,,0,,,+437682 / 2655 - 0
41750,Wolfsegg am Hausruck,Ja,Caritas oder andere private Erhalter,,,,0,,,+437676 / 7355
41751,Zell am Moos,Ja,Caritas oder andere private Erhalter,,,,0,,,+436234 / 8215
41752,Zell am Pettenfirst,Ja,Caritas oder andere private Erhalter,,,,0,,,+437675 / 2355
41815,Pennewang,Ja,Caritas oder andere private Erhalter,,,,0,,,+437245 / 26 1 55
41816,Pichl bei Wels,Ja,Caritas oder andere private Erhalter,,,,0,,,+437247 / 8555 - 0
41817,Sattledt,Ja,Caritas oder andere private Erhalter,,,,0,,,+437244 / 8854 - 0
41820,Stadl-Paura,Ja,Caritas oder andere private Erhalter,,,,0,,,+437245 / 28 0 11
41821,Steinerkirchen an der Traun,Ja,Caritas oder andere private Erhalter,,,,0,,,+437241 / 2255 0
41822,Steinhaus,Ja,Caritas oder andere private Erhalter,,,,0,,,+437242 / 27455
41823,Thalheim bei Wels,Ja,Caritas oder andere private Erhalter,,,,0,,,+437242 / 47074 - 0
40506,Hartkirchen,Ja,Caritas oder andere private Erhalter,,,,0,,,+437273 / 8956
41114,Naarn im Machlande,Ja,Caritas oder andere private Erhalter,,,,0,,,+437262 / 58 2 55
